Anthony_Quinn, 1915-04-21, 2420609, 2420609, 177691, 177691, 96239.1129
Arthur_Conan_Doyle, 1859-05-22, 2400187, 2400187, 176317, 176317, 126786.5333
Billy_Zane, 1966-02-24, 2439181, 2439181, 178933, 178933, 186424.9722
Carmen_Miranda, 1909-02-09, 2418347, 2418347, 177539, 177539, 99207.96429
Edgar_Rice_Burroughs, 1875-09-01, 2406133, 2406133, 176711, 176711, 74387.57778
Elisabeth_Shue, 1963-10-06, 2438309, 2438309, 178873, 178873, 263223.2353
Emmanuel_Adebayor, 1984-02-26, 2445757, 2445757, 179393, 179393, 157459.0625
Eva_Longoria, 1975-03-15, 2442487, 2442487, 179161, 179161, 259512.8462
Gerd_Müller, 1945-11-03, 2431763, 2431763, 178447, 178447, 119267.9038
Golda_Meir, 1898-05-03, 2414413, 2414413, 177269, 177269, 72860.85507
John_Edwards_(musician), 1953-05-09, 2434507, 2434507, 178627, 178627, 140393.2353
José_de_San_Martín, 1778-02-25, 2370517, 2370517, 174289, 174289, 187421.7736
Julio_Cortázar, 1914-08-26, 2420371, 2420371, 177677, 177677, 122011.9348
Kofi_Annan, 1938-04-08, 2428997, 2428997, 178261, 178261, 65490.69231
Marcus_Aurelius, 0121-04-26, 1765369, 1765369, 132647, 132647, 162190.0959
Mohammed_bin_Rashid_Al_Maktoum, 1949-07-15, 2433113, 2433113, 178531, 178531, 150002.4054
Norah_Jones, 1979-03-30, 2443963, 2443963, 179261, 179261, 259985.8125
Park_Chung-hee, 1917-11-14, 2421547, 2421547, 177761, 177761, 70074.7037
Stan_Lee, 1922-12-28, 2423417, 2423417, 177889, 177889, 307491.087
Stevan_Jovetić, 1989-11-02, 2447833, 2447833, 179527, 179527, 108379.3929
Will.i.am, 1975-03-15, 2442487, 2442487, 179161, 179161, 404815.9512
