50_Cent, 1975-07-06, 2442600, 2,2,2,3,3,5,5,23,59, 0, 0, 632055.6716
Amanda_Bynes, 1986-04-03, 2446524, 2,2,3,3,3,3,3,3,839, 0, 0, 624594.7027
Frank_Lampard, 1978-06-20, 2443680, 2,2,2,2,2,3,3,5,1697, 0, 0, 185169.1176
Fábio_Coentrão, 1988-03-11, 2447232, 2,2,2,2,2,2,2,3,6373, 0, 0, 87429.44444
Gabriela_Mistral, 1889-04-07, 2411100, 2,2,3,3,3,5,5,19,47, 0, 0, 77513.51613
Gary_Sinise, 1955-03-17, 2435184, 2,2,2,2,3,3,3,3,1879, 0, 0, 158276.3636
Hafez_al-Assad, 1930-10-06, 2426256, 2,2,2,2,3,3,7,29,83, 0, 0, 75907.44444
Hayden_Panettiere, 1989-08-21, 2447760, 2,2,2,2,3,5,7,31,47, 0, 0, 537846.0213
Heath_Ledger, 1979-04-04, 2443968, 2,2,2,2,2,2,3,3,4243, 0, 0, 730116.7671
Kurt_Angle, 1968-12-09, 2440200, 2,2,2,3,5,5,7,7,83, 0, 0, 324973.8889
Lynn_Redgrave, 1943-03-08, 2430792, 2,2,2,3,3,7,7,13,53, 0, 0, 75009.74074
Martha_Graham, 1894-05-11, 2412960, 2,2,2,2,2,3,5,11,457, 0, 0, 225573.8824
Nani, 1986-11-17, 2446752, 2,2,2,2,2,3,7,11,331, 0, 0, 104851.4464
Naomi_Watts, 1968-09-28, 2440128, 2,2,2,2,2,2,3,71,179, 0, 0, 273029.2407
Nicolas_Sarkozy, 1955-01-28, 2435136, 2,2,2,2,2,2,3,11,1153, 0, 0, 159108.96
Paul_Giamatti, 1967-06-06, 2439648, 2,2,2,2,2,3,3,43,197, 0, 0, 171443.7576
Peter_Falk, 1927-09-16, 2425140, 2,2,3,3,3,3,3,5,499, 0, 0, 161894.8636
Peter_Schmeichel, 1963-11-18, 2438352, 2,2,2,2,3,3,7,41,59, 0, 0, 109452.093
Rudolph_Valentino, 1895-05-06, 2413320, 2,2,2,3,5,7,13,13,17, 0, 0, 103537.025
Sarah_Michelle_Gellar, 1977-04-14, 2443248, 2,2,2,2,3,3,19,19,47, 0, 0, 424751
Terence_Hill, 1939-03-29, 2429352, 2,2,2,3,3,3,3,23,163, 0, 0, 317292.125
