Al_Capone, 1899-01-17, 2414672, 2,2,2,2,13,13,19,47, 0, 0, 491181.2097
Alicia_Silverstone, 1976-10-04, 2443056, 2,2,2,2,3,7,11,661, 0, 0, 265780.2703
BoA, 1986-11-05, 2446740, 2,2,3,3,3,5,23,197, 0, 0, 244977.5588
Claude_Monet, 1840-11-14, 2393424, 2,2,2,2,3,3,11,1511, 0, 0, 252271.3043
Eazy-E, 1963-09-07, 2438280, 2,2,2,3,3,5,13,521, 0, 0, 402529.2258
Eva_Mendes, 1974-03-05, 2442112, 2,2,2,2,2,2,2,19079, 0, 0, 381499.8511
Heather_Locklear, 1961-09-25, 2437568, 2,2,2,2,2,2,7,5441, 0, 0, 283616.4138
Henry_VIII_of_England, 1491-06-28, 2265824, 2,2,2,2,2,11,41,157, 0, 0, 631188.4286
Jared_Leto, 1971-12-26, 2441312, 2,2,2,2,2,23,31,107, 0, 0, 494313.6596
Jennette_McCurdy, 1992-06-26, 2448800, 2,2,2,2,2,5,5,3061, 0, 0, 551673.5806
Josh_Radnor, 1974-07-29, 2442258, 2,3,3,3,7,7,13,71, 0, 0, 339447.7097
Kelsey_Grammer, 1955-02-21, 2435160, 2,2,2,3,5,7,13,223, 0, 0, 302374.5172
Lil_Wayne, 1982-09-27, 2445240, 2,2,2,3,5,7,41,71, 0, 0, 1401836.674
Matthew_McConaughey, 1969-11-04, 2440530, 2,3,3,3,3,5,23,131, 0, 0, 413178.9167
Nina_Dobrev, 1989-01-09, 2447536, 2,2,2,2,7,13,41,41, 0, 0, 473772.2889
Sean_Combs, 1969-11-04, 2440530, 2,3,3,3,3,5,23,131, 0, 0, 492898.4412
Shirley_Temple, 1928-04-23, 2425360, 2,2,2,2,5,7,61,71, 0, 0, 340979.1111
Tom_Hanks, 1956-07-09, 2435664, 2,2,2,2,3,7,11,659, 0, 0, 405936.5769
Vitali_Klitschko, 1971-07-19, 2441152, 2,2,2,2,2,2,7,5449, 0, 0, 446598.2759
Willie_Nelson, 1933-04-29, 2427192, 2,2,2,3,3,3,17,661, 0, 0, 244650.2647
Zachary_Levi, 1980-09-29, 2444512, 2,2,2,2,2,7,7,1559, 0, 0, 275708.2593
