Al_Capone, 1899-01-17, 2414672, 2,2,2,2,13,13,19,47, 0, 0, 491181.2097
Aleksandr_Lyapunov, 1857-06-06, 2399472, 2,2,2,2,3,3,19,877, 0, 0, 13001.55556
Caster_Semenya, 1991-01-07, 2448264, 2,2,2,3,7,13,19,59, 0, 0, 113576.6071
Eden_Hazard, 1991-01-07, 2448264, 2,2,2,3,7,13,19,59, 0, 0, 240831.7568
Edmond_Rostand, 1868-04-01, 2403424, 2,2,2,2,2,19,59,67, 0, 0, 36157.16667
Galeazzo_Ciano, 1903-03-18, 2416192, 2,2,2,2,2,2,19,1987, 0, 0, 35792.45455
Jim_Courier, 1970-08-17, 2440816, 2,2,2,2,7,19,31,37, 0, 0, 51740.05714
Manu_Chao, 1961-06-21, 2437472, 2,2,2,2,2,19,19,211, 0, 0, 214663
Omar_Suleiman, 1936-07-02, 2428352, 2,2,2,2,2,2,19,1997, 0, 0, 44593.32258
Walter_Kohn, 1923-03-09, 2423488, 2,2,2,2,2,2,19,1993, 0, 0, 10727.41935
William_R._King, 1786-04-07, 2373480, 2,2,2,3,3,5,19,347, 0, 0, 17510.13793
