Adolphe_Quetelet, 1796-02-22, 2377088, 2,2,2,2,2,2,2,7,7,379, 0, 0, 16563.75
Antonio_Machado, 1875-07-26, 2406096, 2,2,2,2,3,3,7,7,11,31, 0, 0, 140250.9032
Brooke_Shields, 1965-05-31, 2438912, 2,2,2,2,2,2,2,2,7,1361, 0, 0, 360427.55
Carl_Jung, 1875-07-26, 2406096, 2,2,2,2,3,3,7,7,11,31, 0, 0, 224846.8472
Emílio_Garrastazu_Médici, 1905-12-04, 2417184, 2,2,2,2,2,3,3,7,11,109, 0, 0, 32923.38462
Hank_Williams, 1923-09-17, 2423680, 2,2,2,2,2,2,2,5,7,541, 0, 0, 151554.9412
Juhi_Chawla, 1967-11-13, 2439808, 2,2,2,2,2,2,2,7,7,389, 0, 0, 128468
Mary_McDonnell, 1952-04-28, 2434131, 3,3,3,3,3,3,3,3,7,53, 0, 0, 126443.9259
Massimo_Oddo, 1976-06-14, 2442944, 2,2,2,2,2,2,7,7,19,41, 0, 0, 42181.78378
Otho, 0032-04-28, 1732864, 2,2,2,2,2,2,2,2,7,967, 0, 0, 24841.875
Steve_Zahn, 1967-11-13, 2439808, 2,2,2,2,2,2,2,7,7,389, 0, 0, 131170.8966
Ted_Kennedy, 1932-02-22, 2426760, 2,2,2,3,3,3,3,5,7,107, 0, 0, 206382.3585
