Alex_Ferguson, 1941-12-31, 2430360, 2,2,2,3,3,5,43,157, 0, 0, 211358.4697
Antoine_de_Saint-Exupéry, 1900-06-29, 2415200, 2,2,2,2,2,5,5,3019, 0, 0, 130256.8158
Audrey_Tautou, 1976-08-09, 2443000, 2,2,2,5,5,5,7,349, 0, 0, 170865.2679
BoA, 1986-11-05, 2446740, 2,2,3,3,3,5,23,197, 0, 0, 244977.5588
Cesc_Fàbregas, 1987-05-04, 2446920, 2,2,2,3,3,5,7,971, 0, 0, 181519.6087
Eazy-E, 1963-09-07, 2438280, 2,2,2,3,3,5,13,521, 0, 0, 402529.2258
Ian_Curtis, 1956-07-15, 2435670, 2,3,3,3,3,5,31,97, 0, 0, 209369.3429
Jay_Leno, 1950-04-28, 2433400, 2,2,2,5,5,23,23,23, 0, 0, 238832.5938
Jennette_McCurdy, 1992-06-26, 2448800, 2,2,2,2,2,5,5,3061, 0, 0, 551673.5806
Jimmy_Carter, 1924-10-01, 2424060, 2,2,3,3,3,5,67,67, 0, 0, 201643.7596
Joe_Satriani, 1956-07-15, 2435670, 2,3,3,3,3,5,31,97, 0, 0, 240564.2703
Katie_Melua, 1984-09-16, 2445960, 2,2,2,3,5,11,17,109, 0, 0, 127300.8333
Kelsey_Grammer, 1955-02-21, 2435160, 2,2,2,3,5,7,13,223, 0, 0, 302374.5172
Lee_Van_Cleef, 1925-01-09, 2424160, 2,2,2,2,2,5,109,139, 0, 0, 125683.5405
Lil_Wayne, 1982-09-27, 2445240, 2,2,2,3,5,7,41,71, 0, 0, 1401836.674
Manuel_Noriega, 1934-02-11, 2427480, 2,2,2,3,3,5,11,613, 0, 0, 104634.7073
Matthew_McConaughey, 1969-11-04, 2440530, 2,3,3,3,3,5,23,131, 0, 0, 413178.9167
Michel_Platini, 1955-06-21, 2435280, 2,2,2,2,3,5,73,139, 0, 0, 101190.0984
Recep_Tayyip_Erdoğan, 1954-02-26, 2434800, 2,2,2,2,3,5,5,2029, 0, 0, 105559.0132
Sean_Combs, 1969-11-04, 2440530, 2,3,3,3,3,5,23,131, 0, 0, 492898.4412
Shirley_Temple, 1928-04-23, 2425360, 2,2,2,2,5,7,61,71, 0, 0, 340979.1111
