Amy_Adams, 1974-08-20, 2442280, 2,2,2,5,61057, 0, 0, 400438.8085
Amy_Winehouse, 1983-09-14, 2445592, 2,2,2,107,2857, 0, 0, 591760.859
Angelina_Jolie, 1975-06-04, 2442568, 2,2,2,503,607, 0, 0, 749601.0989
Anna_Faris, 1976-11-29, 2443112, 2,2,2,7,43627, 0, 0, 379445.6
Brenda_Song, 1988-03-27, 2447248, 2,2,2,2,152953, 0, 0, 317229.2609
Carrie_Fisher, 1956-10-21, 2435768, 2,2,2,29,10499, 0, 0, 404823.5172
Halle_Berry, 1966-08-14, 2439352, 2,2,2,101,3019, 0, 0, 316650.2923
Heather_Graham, 1970-01-29, 2440616, 2,2,2,47,6491, 0, 0, 285918.6563
Jamie_Bell, 1986-03-14, 2446504, 2,2,2,17,17989, 0, 0, 277332.3103
Janis_Joplin, 1943-01-19, 2430744, 2,2,2,3,101281, 0, 0, 377664.5789
Jessica_Biel, 1982-03-03, 2445032, 2,2,2,31,9859, 0, 0, 439206.9804
Jessie_J, 1988-03-27, 2447248, 2,2,2,2,152953, 0, 0, 397077
Josef_Mengele, 1911-03-16, 2419112, 2,2,2,71,4259, 0, 0, 390980.0833
Kate_Moss, 1974-01-16, 2442064, 2,2,2,2,152629, 0, 0, 376345.2703
Queen_Latifah, 1970-03-18, 2440664, 2,2,2,19,16057, 0, 0, 305108.7714
Rob_Lowe, 1964-03-17, 2438472, 2,2,2,3,101603, 0, 0, 361958.75
Russell_Brand, 1975-06-04, 2442568, 2,2,2,503,607, 0, 0, 715914.0333
Simon_Pegg, 1970-02-14, 2440632, 2,2,2,3,101693, 0, 0, 359027.2581
Skrillex, 1988-01-15, 2447176, 2,2,2,149,2053, 0, 0, 689120
Sylvester_Stallone, 1946-07-06, 2432008, 2,2,2,109,2789, 0, 0, 591962.2297
Usain_Bolt, 1986-08-21, 2446664, 2,2,2,11,27803, 0, 0, 329042.5176
