Bella_Thorne, 1997-10-08, 2450730, 2,3,5,151,541, 0, 0, 379715.4688
Bono, 1960-05-10, 2437065, 3,3,5,31,1747, 0, 0, 233445.2264
Colin_Farrell, 1976-05-31, 2442930, 2,3,5,7,11633, 0, 0, 383619.9167
Fernando_Torres, 1984-03-20, 2445780, 2,2,3,5,40763, 0, 0, 397694.9571
Friedrich_Nietzsche, 1844-10-15, 2394855, 3,3,5,19,2801, 0, 0, 336278.3761
Gideon_Sundback, 1880-04-24, 2407830, 2,3,5,83,967, 0, 0, 240902.9762
Guy_Ritchie, 1968-09-10, 2440110, 2,3,5,163,499, 0, 0, 232787.8684
Heidi_Klum, 1973-06-01, 2441835, 3,3,5,11,4933, 0, 0, 364413
Joe_Pesci, 1943-02-09, 2430765, 3,3,5,19,2843, 0, 0, 240775.8947
John_McCain, 1936-08-29, 2428410, 2,3,5,61,1327, 0, 0, 229144.573
Johnny_Depp, 1963-06-09, 2438190, 2,3,3,5,27091, 0, 0, 1037709.288
Kirsten_Dunst, 1982-04-30, 2445090, 2,3,5,149,547, 0, 0, 321621.0164
LL_Cool_J, 1968-01-14, 2439870, 2,3,5,167,487, 0, 0, 379192.4
LeBron_James, 1984-12-30, 2446065, 3,3,3,5,18119, 0, 0, 606875.9412
Lloyd_Banks, 1982-04-30, 2445090, 2,3,5,149,547, 0, 0, 210783.963
Nas, 1973-09-14, 2441940, 2,2,3,5,40699, 0, 0, 457749.4474
Richard_Hammond, 1969-12-19, 2440575, 3,3,5,5,10847, 0, 0, 349442.5
Ricky_Martin, 1971-12-24, 2441310, 2,3,5,19,4283, 0, 0, 233111.8421
Seth_Rogen, 1982-04-15, 2445075, 3,3,5,5,10867, 0, 0, 487787.6563
Tina_Fey, 1970-05-18, 2440725, 3,5,5,7,4649, 0, 0, 399426.9412
Vin_Diesel, 1967-07-18, 2439690, 2,3,5,11,7393, 0, 0, 861818.1304
