Alex_Ferguson, 1941-12-31, 2430360, 2,2,2,3,3,5,43,157, 0, 0, 211358.4697
BoA, 1986-11-05, 2446740, 2,2,3,3,3,5,23,197, 0, 0, 244977.5588
Cesc_Fàbregas, 1987-05-04, 2446920, 2,2,2,3,3,5,7,971, 0, 0, 181519.6087
Eazy-E, 1963-09-07, 2438280, 2,2,2,3,3,5,13,521, 0, 0, 402529.2258
Ian_Curtis, 1956-07-15, 2435670, 2,3,3,3,3,5,31,97, 0, 0, 209369.3429
Itō_Hirobumi, 1841-10-16, 2393760, 2,2,2,2,2,3,5,4987, 0, 0, 88970.08511
Jimmy_Carter, 1924-10-01, 2424060, 2,2,3,3,3,5,67,67, 0, 0, 201643.7596
Joe_Satriani, 1956-07-15, 2435670, 2,3,3,3,3,5,31,97, 0, 0, 240564.2703
José_Ortega_y_Gasset, 1883-05-09, 2408940, 2,2,3,3,3,3,5,1487, 0, 0, 75256.16667
Katie_Melua, 1984-09-16, 2445960, 2,2,2,3,5,11,17,109, 0, 0, 127300.8333
Kelsey_Grammer, 1955-02-21, 2435160, 2,2,2,3,5,7,13,223, 0, 0, 302374.5172
Lil_Wayne, 1982-09-27, 2445240, 2,2,2,3,5,7,41,71, 0, 0, 1401836.674
Manuel_Noriega, 1934-02-11, 2427480, 2,2,2,3,3,5,11,613, 0, 0, 104634.7073
Matthew_McConaughey, 1969-11-04, 2440530, 2,3,3,3,3,5,23,131, 0, 0, 413178.9167
Michel_Platini, 1955-06-21, 2435280, 2,2,2,2,3,5,73,139, 0, 0, 101190.0984
Recep_Tayyip_Erdoğan, 1954-02-26, 2434800, 2,2,2,2,3,5,5,2029, 0, 0, 105559.0132
Richard_Clayderman, 1953-12-28, 2434740, 2,2,3,5,7,11,17,31, 0, 0, 82192.22581
Samuel_Johnson, 1709-09-18, 2345520, 2,2,2,2,3,5,29,337, 0, 0, 84520.86364
Sean_Combs, 1969-11-04, 2440530, 2,3,3,3,3,5,23,131, 0, 0, 492898.4412
Stephen_Fry, 1957-08-24, 2436075, 3,3,3,3,3,5,5,401, 0, 0, 357339.3421
Will_Smith, 1968-09-25, 2440125, 3,3,3,3,5,5,5,241, 0, 0, 752834.4595
