A._J._Cronin, 1896-07-19, 2413760, 2,2,2,2,2,2,5,19,397, 0, 0, 25100.02778
Barry_Marshall, 1951-09-30, 2433920, 2,2,2,2,2,2,2,5,3803, 0, 0, 17687.76923
Carlo_Collodi, 1826-11-24, 2388320, 2,2,2,2,2,5,11,23,59, 0, 0, 34591.8125
Cristian_Zaccardo, 1981-12-21, 2444960, 2,2,2,2,2,5,7,37,59, 0, 0, 36038.72414
Frank_Lampard, 1978-06-20, 2443680, 2,2,2,2,2,3,3,5,1697, 0, 0, 185169.1176
Hayden_Panettiere, 1989-08-21, 2447760, 2,2,2,2,3,5,7,31,47, 0, 0, 537846.0213
Henry_Fielding, 1707-04-22, 2344640, 2,2,2,2,2,2,5,17,431, 0, 0, 31049.7619
Inna, 1986-10-16, 2446720, 2,2,2,2,2,2,2,5,3823, 0, 0, 231981.7692
James_Heckman, 1944-04-19, 2431200, 2,2,2,2,2,3,5,5,1013, 0, 0, 13073.77778
Jamie_Oliver, 1975-05-27, 2442560, 2,2,2,2,2,2,5,17,449, 0, 0, 208293.7647
Jim_Jarmusch, 1953-01-22, 2434400, 2,2,2,2,2,5,5,17,179, 0, 0, 110784.1081
Lasse_Virén, 1949-07-22, 2433120, 2,2,2,2,2,3,5,37,137, 0, 0, 17062.75
Martha_Graham, 1894-05-11, 2412960, 2,2,2,2,2,3,5,11,457, 0, 0, 225573.8824
Paulina_Rubio, 1971-06-17, 2441120, 2,2,2,2,2,5,11,19,73, 0, 0, 129890
Radek_Štěpánek, 1978-11-27, 2443840, 2,2,2,2,2,2,5,7,1091, 0, 0, 36428.51724
Ricardo_Lagos, 1938-03-02, 2428960, 2,2,2,2,2,5,17,19,47, 0, 0, 25821.30303
Richard_Dawkins, 1941-03-26, 2430080, 2,2,2,2,2,2,2,5,3797, 0, 0, 166379.3971
Seal_(musician), 1963-02-19, 2438080, 2,2,2,2,2,2,5,19,401, 0, 0, 132704.6061
Shavo_Odadjian, 1974-04-22, 2442160, 2,2,2,2,5,7,7,7,89, 0, 0, 87919.96774
Yongle_Emperor, 1360-05-02, 2217920, 2,2,2,2,2,2,5,29,239, 0, 0, 52782.03226
Zillur_Rahman, 1929-03-09, 2425680, 2,2,2,2,3,3,3,5,1123, 0, 0, 14343.35714
