Chuck_Schuldiner, 1967-05-13, 2439624, 2,2,2,3,11,9241, 0, 0, 107350.5185
Diana_Ross, 1944-03-26, 2431176, 2,2,2,3,11,9209, 0, 0, 246066.5217
Gackt, 1973-07-04, 2441868, 2,2,3,11,13,1423, 0, 0, 304094.2857
Josef_Albers, 1888-03-19, 2410716, 2,2,3,7,11,2609, 0, 0, 43066.96154
Keke_Rosberg, 1948-12-06, 2432892, 2,2,3,7,11,2633, 0, 0, 51518.06452
Marjane_Satrapi, 1969-11-22, 2440548, 2,2,3,3,11,6163, 0, 0, 69797.82759
Melanie_Griffith, 1957-08-09, 2436060, 2,2,3,5,11,3691, 0, 0, 229125.2632
Nikola_Žigić, 1980-09-25, 2444508, 2,2,3,3,11,6173, 0, 0, 47788.94444
T.I., 1980-09-25, 2444508, 2,2,3,3,11,6173, 0, 0, 627045.1111
William_Gibson, 1948-03-17, 2432628, 2,2,3,3,11,6143, 0, 0, 68814.625
