Adriana_Lima, 1981-06-12, 2444768, 2,2,2,2,2,19,4021, 0, 0, 400258.5106
Alexis_Bledel, 1981-09-16, 2444864, 2,2,2,2,2,2,38201, 0, 0, 342523.8108
Cameron_Diaz, 1972-08-30, 2441560, 2,2,2,5,11,31,179, 0, 0, 442533.4559
Chris_Jericho, 1970-11-09, 2440900, 2,2,5,5,7,11,317, 0, 0, 424251.5
Darren_Criss, 1987-02-05, 2446832, 2,2,2,2,23,61,109, 0, 0, 340967.7143
Denise_Richards, 1971-02-17, 2441000, 2,2,2,5,5,5,2441, 0, 0, 387577.2222
Dolly_Parton, 1946-01-19, 2431840, 2,2,2,2,2,5,15199, 0, 0, 319738.6444
Julia_Roberts, 1967-10-28, 2439792, 2,2,2,2,3,3,16943, 0, 0, 364397.0921
Lamar_Odom, 1979-11-06, 2444184, 2,2,2,3,3,83,409, 0, 0, 363214.0357
Lily_Collins, 1989-03-18, 2447604, 2,2,3,3,3,131,173, 0, 0, 363962.1852
Lisa_Marie_Presley, 1968-02-01, 2439888, 2,2,2,2,3,11,4621, 0, 0, 424263.2857
Maggie_Q, 1979-05-22, 2444016, 2,2,2,2,3,59,863, 0, 0, 339764.1429
Marc_Anthony, 1968-09-16, 2440116, 2,2,3,3,7,23,421, 0, 0, 342956.3636
Michael_C._Hall, 1971-02-01, 2440984, 2,2,2,7,7,13,479, 0, 0, 383879.4571
Michael_Cera, 1988-06-07, 2447320, 2,2,2,5,17,59,61, 0, 0, 487260.037
Mickey_Rourke, 1952-09-16, 2434272, 2,2,2,2,2,3,25357, 0, 0, 443698.7556
Priscilla_Presley, 1945-05-24, 2431600, 2,2,2,2,5,5,6079, 0, 0, 310341.2963
Ronaldinho, 1980-03-21, 2444320, 2,2,2,2,2,5,15277, 0, 0, 497528.4156
Ronaldo, 1976-09-18, 2443040, 2,2,2,2,2,5,15269, 0, 0, 510843.8533
Shawn_Michaels, 1965-07-22, 2438964, 2,2,3,3,3,11,2053, 0, 0, 554633.9706
Stephen_Hawking, 1942-01-08, 2430368, 2,2,2,2,2,53,1433, 0, 0, 581601.7738
